system:index,2017_carbon,2017_standAge,2018_carbon,2018_standAge,2019_carbon,2019_standAge,2020_carbon,2020_standAge,2021_carbon,2021_standAge,.geo
00000000000000000046_0,0.23480944627485364,8,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,0.6799708961627136,12,0.8066958704124162,13,0.9336515130203743,14,1.0585432930732979,15,1.1795467859176587,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048_0,2.0292096230337027,26,2.078752359507243,27,2.1232445319685325,28,2.163112186115942,29,2.1987664904777846,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_0,3.889882938988682E-5,1,0.001029068900523087,2,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_0,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,0.9336515130203743,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_0,2.445420037385529,47,2.449485873431824,48,2.4530756351562215,49,2.456244593311927,50,2.4590417075711226,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,3.889882938988682E-5,1,0.001029068900523087,2,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,0.3303381750511785,9,0.4385682662334323,10,0.5562223243939945,11,0.6799708961627136,12,0.8066958704124162,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025_0,3.889882938988682E-5,1,0.001029068900523087,2,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d_0,3.889882938988682E-5,1,0.001029068900523087,2,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b_0,3.889882938988682E-5,1,0.001029068900523087,2,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d_0,3.889882938988682E-5,1,0.001029068900523087,2,0.006174841943272605,3,0.020264757663322565,4,0.047926420844111896,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e_0,0.6799708961627136,12,0.8066958704124162,13,0.9336515130203743,14,1.0585432930732979,15,1.1795467859176587,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
